[388.47509768 141.90974993 901.84054313]1619130714.3507395
[388.47508396 141.90967695 901.84051853]1619130714.369934
[379.92398666 130.31222979 876.17757043]1619130714.3704855
[388.47491933 141.90963955 901.84028726]1619130714.3929672
[379.92398666 130.31222979 876.17757043]1619130714.3935575
[388.47395935 141.90939057 901.83805334]1619130714.4085968
[379.92398666 130.31222979 876.17757043]1619130714.4091988
[388.47368653 141.9093468  901.83757073]1619130714.4304287
[379.92398666 130.31222979 876.17757043]1619130714.4309735
[388.47177595 141.90888656 901.83311987]1619130714.4493806
[379.92398666 130.31222979 876.17757043]1619130714.450178
[388.47177595 141.90888656 901.83311987]1619130714.4706428
[379.92398666 130.31222979 876.17757043]1619130714.4712203
[388.47119668 141.90835596 901.83179831]1619130714.489005
[379.92300424 130.31195661 876.17528047]1619130714.489538
[388.47119668 141.90835596 901.83179831]1619130714.5103493
[379.92291202 130.3119408  876.17506196]1619130714.5109084
[388.47025544 141.90739067 901.82965848]1619130714.5288668
[379.92261529 130.31185501 876.17437148]1619130714.5294604
[388.4696512  141.90715898 901.82841133]1619130714.554646
[379.92261529 130.31185501 876.17437148]1619130714.5551958
[388.46929788 141.90600302 901.82766845]1619130714.5692368
[379.92242082 130.31180421 876.17391698]1619130714.5697606
[388.46879028 141.90572234 901.82665183]1619130714.5933113
[379.92222634 130.31175341 876.17346249]1619130714.5938485
[388.46831263 141.90398886 901.82580969]1619130714.608734
[379.92202183 130.31168343 876.17299052]1619130714.6092396
[388.4677364  141.90355907 901.8244925 ]1619130714.6326573
[379.92182735 130.31163263 876.17253603]1619130714.6332567
[388.46736574 141.90107282 901.82395925]1619130714.6512647
[379.92164292 130.31160101 876.17209901]1619130714.6518984
[388.46671547 141.90047093 901.82263118]1619130714.674609
[379.92154066 130.31156602 876.17186303]1619130714.6752803
[388.46669275 141.8970615  901.8228329 ]1619130714.690642
[379.92124393 130.31148023 876.17117255]1619130714.6911888
[388.46612293 141.89631995 901.82170642]1619130714.7128096
[379.92093716 130.31137526 876.1704646 ]1619130714.7133877
[388.46609331 141.89160231 901.82213713]1619130714.729151
