b'<Run|MPos:0.000,0.000,-54.700|FS:2000,0|Ov:100,100,100>\r\n'TimeStamp:1619130829.047003
b'<Run|MPos:0.000,0.000,-55.630|FS:2000,0>\r\n'TimeStamp:1619130829.0734737
b'<Run|MPos:0.000,0.000,-56.540|FS:2000,0>\r\n'TimeStamp:1619130829.1009629
b'<Run|MPos:0.000,0.000,-57.430|FS:2000,0>\r\n'TimeStamp:1619130829.1274202
b'<Run|MPos:0.000,0.000,-58.340|FS:2000,0>\r\n'TimeStamp:1619130829.1548202
b'<Run|MPos:0.000,0.000,-59.260|FS:2000,0>\r\n'TimeStamp:1619130829.1884177
b'<Run|MPos:0.000,0.000,-60.380|FS:2000,0>\r\n'TimeStamp:1619130829.2294962
b'<Run|MPos:0.000,0.000,-61.780|FS:2000,0>\r\n'TimeStamp:1619130829.2611752
b'<Run|MPos:0.000,0.000,-62.770|FS:2000,0>\r\n'TimeStamp:1619130829.2877388
b'<Run|MPos:0.000,0.000,-63.650|FS:2000,0>\r\n'TimeStamp:1619130829.315732
b'<Run|MPos:0.000,0.000,-64.590|FS:2000,0>\r\n'TimeStamp:1619130829.3423223
b'<Run|MPos:0.000,0.000,-65.470|FS:2000,0>\r\n'TimeStamp:1619130829.3716886
b'<Run|MPos:0.000,0.000,-66.450|FS:2000,0>\r\n'TimeStamp:1619130829.3983154
b'<Run|MPos:0.000,0.000,-67.340|FS:2000,0>\r\n'TimeStamp:1619130829.4264562
b'<Run|MPos:0.000,0.000,-68.270|FS:2000,0>\r\n'TimeStamp:1619130829.456408
b'<Run|MPos:0.000,0.000,-69.300|FS:2000,0>\r\n'TimeStamp:1619130829.4836652
b'<Run|MPos:0.000,0.000,-70.190|FS:2000,0>\r\n'TimeStamp:1619130829.5149293
b'<Run|MPos:0.000,0.000,-71.220|FS:2000,0>\r\n'TimeStamp:1619130829.5414214
b'<Run|MPos:0.000,0.000,-72.110|FS:2000,0>\r\n'TimeStamp:1619130829.5679266
b'<Run|MPos:0.000,0.000,-72.990|FS:2000,0|WCO:0.000,0.000,0.000>\r\n'TimeStamp:1619130829.5943942
b'<Run|MPos:0.000,0.000,-73.920|FS:2000,0|Ov:100,100,100>\r\n'TimeStamp:1619130829.6289093
b'<Run|MPos:0.000,0.000,-75.030|FS:2000,0>\r\n'TimeStamp:1619130829.65577
b'<Run|MPos:0.000,0.000,-75.920|FS:2000,0>\r\n'TimeStamp:1619130829.6821775
b'<Run|MPos:0.000,0.000,-76.800|FS:2000,0>\r\n'TimeStamp:1619130829.71249
b'<Run|MPos:0.000,0.000,-77.800|FS:2000,0>\r\n'TimeStamp:1619130829.7398472
b'<Run|MPos:0.000,0.000,-78.720|FS:2000,0>\r\n'TimeStamp:1619130829.7663336
b'<Run|MPos:0.000,0.000,-79.600|FS:2000,0>\r\n'TimeStamp:1619130829.7928011
b'<Run|MPos:0.000,0.000,-80.520|FS:2000,0>\r\n'TimeStamp:1619130829.820272
b'<Run|MPos:0.000,0.000,-81.400|FS:2000,0>\r\n'TimeStamp:1619130829.8467565
b'<Run|MPos:0.000,0.000,-82.300|FS:2000,0>\r\n'TimeStamp:1619130829.874252
b'<Run|MPos:0.000,0.000,-83.200|FS:2000,0>\r\n'TimeStamp:1619130829.900939
b'<Run|MPos:0.000,0.000,-84.090|FS:2000,0>\r\n'TimeStamp:1619130829.927392
b'<Run|MPos:0.000,0.000,-84.970|FS:2000,0>\r\n'TimeStamp:1619130829.953975
b'<Run|MPos:0.000,0.000,-85.860|FS:2000,0>\r\n'TimeStamp:1619130829.980693
b'<Run|MPos:0.000,0.000,-86.740|FS:2000,0>\r\n'TimeStamp:1619130830.0072005
b'<Run|MPos:0.000,0.000,-87.650|FS:2000,0>\r\n'TimeStamp:1619130830.034237
b'<Run|MPos:0.000,0.000,-88.530|FS:2000,0>\r\n'TimeStamp:1619130830.0606651
b'<Run|MPos:0.000,0.000,-89.410|FS:2000,0>\r\n'TimeStamp:1619130830.08703
b'<Run|MPos:0.000,0.000,-90.290|FS:2000,0>\r\n'TimeStamp:1619130830.1134224
b'<Run|MPos:0.000,0.000,-91.180|FS:2000,0>\r\n'TimeStamp:1619130830.1401832
b'<Run|MPos:0.000,0.000,-92.060|FS:2000,0|Ov:100,100,100>\r\n'TimeStamp:1619130830.1690896
b'<Run|MPos:0.000,0.000,-93.050|FS:2000,0>\r\n'TimeStamp:1619130830.1962626
b'<Run|MPos:0.000,0.000,-93.930|FS:2000,0>\r\n'TimeStamp:1619130830.2228215
b'<Run|MPos:0.000,0.000,-94.810|FS:2000,0>\r\n'TimeStamp:1619130830.2502818
b'<Run|MPos:0.000,0.000,-95.730|FS:2000,0>\r\n'TimeStamp:1619130830.2768896
b'<Run|MPos:0.000,0.000,-96.630|FS:2000,0>\r\n'TimeStamp:1619130830.3048809
